"","dist_bin","s_focal","s_del","delta_r2","demography"
"1",10,0,0.001,-0.155728679057538,"long"
"2",15,0,0.001,-0.150683557555249,"long"
"3",20,0,0.001,-0.157072445123197,"long"
"4",25,0,0.001,-0.145747792472608,"long"
"5",50,0,0.001,-0.131773560255482,"long"
"6",75,0,0.001,-0.09242451675474,"long"
"7",100,0,0.001,-0.086863601460971,"long"
"8",125,0,0.001,-0.071646985952358,"long"
"9",150,0,0.001,-0.052481305681765,"long"
"10",175,0,0.001,-0.048889188072951,"long"
"11",200,0,0.001,-0.027961529928531,"long"
"12",250,0,0.001,-0.024855805121078,"long"
"13",300,0,0.001,-0.014301246624686,"long"
"14",350,0,0.001,-0.011177237084331,"long"
"15",400,0,0.001,-0.00715297111402599,"long"
"16",450,0,0.001,0.00174557809737499,"long"
"17",500,0,0.001,0.003493518554714,"long"
"18",550,0,0.001,0.004691727177316,"long"
"19",600,0,0.001,0.00835014507458998,"long"
"20",650,0,0.001,0.00719371443933101,"long"
"21",700,0,0.001,0.00905545290586,"long"
"22",750,0,0.001,0.006225924221895,"long"
"23",800,0,0.001,0.008662426212784,"long"
"24",850,0,0.001,0.008862889848973,"long"
"25",900,0,0.001,0.0082528883283241,"long"
"26",950,0,0.001,0.00677057502253291,"long"
"27",1000,0,0.001,0.0049809406032517,"long"
"28",1050,0,0.001,0.00738835234022001,"long"
"29",1100,0,0.001,0.00855972333568621,"long"
"30",1150,0,0.001,0.0050406468866047,"long"
"31",1200,0,0.001,0.003774201091879,"long"
"32",1300,0,0.001,0.0065207740256585,"long"
"33",1400,0,0.001,0.0061976125743709,"long"
"34",1500,0,0.001,0.0045399906095191,"long"
"35",1600,0,0.001,0.0035499802914862,"long"
"36",1700,0,0.001,0.0031724671610927,"long"
"37",1800,0,0.001,0.0034065675724813,"long"
"38",1900,0,0.001,0.0035264921204821,"long"
"39",2000,0,0.001,0.0044413267420365,"long"
"40",2500,0,0.001,0.0025129567577391,"long"
"41",3000,0,0.001,0.0023758413136779,"long"
"42",3500,0,0.001,0.0014056568856582,"long"
"43",4000,0,0.001,0.000709439956058298,"long"
"44",4500,0,0.001,0.0010031226527568,"long"
"45",5000,0,0.001,0.000502433242244499,"long"
"46",7500,0,0.001,0.000500791488224499,"long"
"47",10000,0,0.001,0.000344973808118501,"long"
"48",10,0,0.001,-0.10594348910449,"short"
"49",15,0,0.001,-0.136086746399017,"short"
"50",20,0,0.001,-0.115288760409282,"short"
"51",25,0,0.001,-0.131612887601382,"short"
"52",50,0,0.001,-0.102009334755825,"short"
"53",75,0,0.001,-0.081307879041419,"short"
"54",100,0,0.001,-0.067372127259847,"short"
"55",125,0,0.001,-0.057572457339398,"short"
"56",150,0,0.001,-0.027204219831793,"short"
"57",175,0,0.001,-0.02428901356038,"short"
"58",200,0,0.001,-0.013328236675128,"short"
"59",250,0,0.001,-0.010213155174427,"short"
"60",300,0,0.001,-0.000991556435329999,"short"
"61",350,0,0.001,0.00597951206347999,"short"
"62",400,0,0.001,0.00733256385935502,"short"
"63",450,0,0.001,0.013648686011494,"short"
"64",500,0,0.001,0.017812736264129,"short"
"65",550,0,0.001,0.014067212691907,"short"
"66",600,0,0.001,0.012868440958843,"short"
"67",650,0,0.001,0.00848883394609019,"short"
"68",700,0,0.001,0.0131839135209779,"short"
"69",750,0,0.001,0.0171543708482699,"short"
"70",800,0,0.001,0.0126350949063537,"short"
"71",850,0,0.001,0.0151726714169618,"short"
"72",900,0,0.001,0.0136095770906292,"short"
"73",950,0,0.001,0.0119629234322776,"short"
"74",1000,0,0.001,0.0095451924896003,"short"
"75",1050,0,0.001,0.0081293404305671,"short"
"76",1100,0,0.001,0.00994215186891011,"short"
"77",1150,0,0.001,0.0049802528510229,"short"
"78",1200,0,0.001,0.00928250435317111,"short"
"79",1300,0,0.001,0.006717063912372,"short"
"80",1400,0,0.001,0.0084687844460577,"short"
"81",1500,0,0.001,0.0081844312023427,"short"
"82",1600,0,0.001,0.0065542736513483,"short"
"83",1700,0,0.001,0.00535698576553301,"short"
"84",1800,0,0.001,0.005270767954696,"short"
"85",1900,0,0.001,0.00437987792016081,"short"
"86",2000,0,0.001,0.0066061785103399,"short"
"87",2500,0,0.001,0.0036818318358877,"short"
"88",3000,0,0.001,0.0031549205577951,"short"
"89",3500,0,0.001,0.002770094736233,"short"
"90",4000,0,0.001,0.0022729871968696,"short"
"91",4500,0,0.001,0.0021904158998155,"short"
"92",5000,0,0.001,0.0016708825025674,"short"
"93",7500,0,0.001,0.0012215150247933,"short"
"94",10000,0,0.001,0.001307989329834,"short"
"95",10,0,0.001,-0.074024512202074,"none"
"96",15,0,0.001,-0.106051043005236,"none"
"97",20,0,0.001,-0.147301685515814,"none"
"98",25,0,0.001,-0.148727034878314,"none"
"99",50,0,0.001,-0.0952793491209031,"none"
"100",75,0,0.001,-0.060120954912541,"none"
"101",100,0,0.001,-0.03539909507112,"none"
"102",125,0,0.001,-0.023200191082388,"none"
"103",150,0,0.001,-0.034123974649256,"none"
"104",175,0,0.001,-0.00198486619226601,"none"
"105",200,0,0.001,-0.00469136571179701,"none"
"106",250,0,0.001,0.014233152258675,"none"
