"","site_type","allele_freq","dist_bin","mean_D","mean_r2","mean_D_prime","num_pairs","s_ben","s_del","rho_exp","mu_exp","theta","h_del","h_ben","model","num_sites"
"847","nonsyn","int",10,0.00308796786204194,0.155076459879115,-0.606514202417699,5103,0.1,0.001,6,6,0,0.5,0.5,1,10
"848","syn","int",10,0.0059906850849356,0.307397769735437,-0.346971395730815,5357,0.1,0.001,6,6,0,0.5,0.5,1,10
"849","nonsyn","common",10,0.0936050470487596,0.705489560330741,0.298186603129878,1169,0.1,0.001,6,6,0,0.5,0.5,1,10
"850","syn","common",10,0.0118829837518464,0.668047171841376,-3.27292258776021e-05,3385,0.1,0.001,6,6,0,0.5,0.5,1,10
"851","nonsyn","rare",10,0.000832580153779196,0.0562773576118012,-0.856191937630062,27572,0.1,0.001,6,6,0,0.5,0.5,1,10
"852","syn","rare",10,0.00118138682516097,0.108011143511086,-0.70929890455493,10095,0.1,0.001,6,6,0,0.5,0.5,1,10
"853","nonsyn","int",15,0.00441422204213938,0.163128914372129,-0.594461084203602,2468,0.1,0.001,6,6,0,0.5,0.5,1,10
"854","syn","int",15,0.00600267722473605,0.291693516983637,-0.349220237646198,2652,0.1,0.001,6,6,0,0.5,0.5,1,10
"855","nonsyn","common",15,0.159864588528678,0.810470163905298,0.606488388473749,802,0.1,0.001,6,6,0,0.5,0.5,1,10
"856","syn","common",15,0.0152046706586826,0.629143218181294,0.0246451721325389,1670,0.1,0.001,6,6,0,0.5,0.5,1,10
"857","nonsyn","rare",15,0.000758745149718134,0.0545214213599828,-0.858447739703643,13659,0.1,0.001,6,6,0,0.5,0.5,1,10
"858","syn","rare",15,0.00151611757743145,0.106380246643661,-0.685182148187248,5069,0.1,0.001,6,6,0,0.5,0.5,1,10
"859","nonsyn","int",20,0.00279602784602785,0.150252662131569,-0.607951010066855,2442,0.1,0.001,6,6,0,0.5,0.5,1,10
"860","syn","int",20,0.00498003861003861,0.266412686506791,-0.360522455050292,2590,0.1,0.001,6,6,0,0.5,0.5,1,10
"861","nonsyn","common",20,0.125207320644217,0.732588071615596,0.452070065012533,683,0.1,0.001,6,6,0,0.5,0.5,1,10
"862","syn","common",20,0.0145625463535229,0.613808015059487,0.0231458332916015,1618,0.1,0.001,6,6,0,0.5,0.5,1,10
"863","nonsyn","rare",20,0.000882673159386583,0.0570534289596998,-0.852638629010915,13759,0.1,0.001,6,6,0,0.5,0.5,1,10
