"","site_type","allele_freq","dist_bin","s_ben","theta","s_del","rho_exp","mu_exp","h_ben","h_del","end_freq","model","num_sites","mean_D","mean_r2","mean_D_prime","num_pairs"
"1","nonsyn","common",15,0,0.01,0.001,6,6,0.5,0.5,0.5,0,1,-0.00784625,0.581658556218976,-0.170698915440525,160
"2","nonsyn","common",15,0.01,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0104966067864271,0.540890899055103,-0.0780718665225377,5010
"3","nonsyn","common",15,0.05,0.01,0,6,5,0.5,0.5,0.5,0,1,0.00364498091874708,0.536201837635131,0.00319688699728319,147527
"4","nonsyn","common",15,0.05,0.01,0,6,6.5,0.5,0.5,0.5,0,1,0.00910198950253888,0.711207320796314,0.00551117353346107,175471
"5","nonsyn","common",15,0.05,0.01,0,6,7,0.5,0.5,0.5,0,1,0.00780305272388469,0.714282205978695,-0.00153219735573981,18246
"6","nonsyn","common",15,0.05,0.01,1e-04,6,5,0.5,0.5,0.5,0,1,0.00808499329102149,0.540276585760192,0.00250575997770909,242958
"7","nonsyn","common",15,0.05,0.01,1e-04,6,6,0.5,0.5,0.5,0,1,0.00789647884948389,0.653041349056571,-0.0209596376070227,177868
"8","nonsyn","common",15,0.05,0.01,1e-04,6,6.5,0.5,0.5,0.5,0,1,0.00399059897931775,0.665240347614313,-0.0461187452016266,55845
"9","nonsyn","common",15,0.05,0.01,1e-04,6,7,0.5,0.5,0.5,0,1,0.000502312050222018,0.66864842189208,-0.0696380032112975,6531
"10","nonsyn","common",15,0.05,0.01,5e-04,6,5.5,0.5,0.5,0.5,0,1,0.0173186421717537,0.615472749970275,0.016151136526763,103695
"11","nonsyn","common",15,0.05,0.01,5e-04,6,6,0.5,0.5,0.5,0,1,0.0220208616204556,0.59404177028506,0.0105721578616425,31522
"12","nonsyn","common",15,0.05,0.01,5e-04,6,6.5,0.5,0.5,0.5,0,1,0.0394774506005424,0.567495493103779,0.0383826587344422,2581
"13","nonsyn","common",15,0.05,0.01,5e-04,6,7,0.5,0.5,0.5,0,1,0.0762867052023121,0.58290570096651,0.207535890708548,173
"14","nonsyn","common",15,0.05,0.01,0.001,5,6,0.5,0.5,0.5,0,1,0.01299477532097,0.402603280235611,0.00883691075397765,5608
"15","nonsyn","common",15,0.05,0.01,0.001,6,6,0,0,0.5,0,1,-0.00507484462872085,0.419187077831647,-0.171412639647379,223336
"16","nonsyn","common",15,0.05,0.01,0.001,6,6,0.25,0.25,0.5,0,1,0.00965299369747899,0.566390186043015,-0.08128224417151,3808
"17","nonsyn","common",15,0.05,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.044182556727389,0.589654416098601,0.114549986099369,31290
"18","nonsyn","common",15,0.05,0.01,0.001,6,6,0.5,0.5,0.75,0,1,0.057849664135514,0.628648637729481,0.191417926161352,6848
"19","nonsyn","common",15,0.05,0.01,0.001,6,6,0.5,0.5,1,0,1,-0.00170584007187781,0.522712822992851,-0.130146378313914,1113
"20","nonsyn","common",15,0.05,0.01,0.001,6,6,0.75,0.75,0.5,0,1,0.0771117096018735,0.637633591421457,0.303945424617215,427
"21","nonsyn","common",15,0.05,0.01,0.001,6,6,1,1,0.5,0,1,0.0595254601226994,0.662489434198513,0.204273099323852,326
"22","nonsyn","common",15,0.05,0.01,0.001,6,6.5,0.5,0.5,0.5,0,1,0.0903591224018476,0.620680701914474,0.361175015076657,433
"23","nonsyn","common",15,0.05,0.01,0.001,6,7,0.5,0.5,0.5,0,1,0.125416666666667,0.707543748748058,0.547799893883653,30
"24","nonsyn","common",15,0.05,0.01,0.001,6.5,6,0.5,0.5,0.5,0,1,0.0453579232342678,0.669327809054788,0.146327517769393,8311
"25","nonsyn","common",15,0.05,0.01,0.001,7,6,0.5,0.5,0.5,0,1,0.0468853833980722,0.71621121992755,0.168199925236352,6951
"26","nonsyn","common",15,0.05,0.01,0.005,6,5.5,0.5,0.5,0.5,0,1,0.0253123137731833,0.6377794374505,0.0653094029081919,6578
"27","nonsyn","common",15,0.05,0.01,0.005,6,6,0.5,0.5,0.5,0,1,0.0145353666895134,0.646612147280162,0.028985611740271,1459
"28","nonsyn","common",15,0.05,0.01,0.005,6,6.5,0.5,0.5,0.5,0,1,0.0942945454545455,0.703474850122207,0.457338360564167,55
"29","nonsyn","common",15,0.05,0.01,0.005,6,7,0.5,0.5,0.5,0,1,0.0616,0.10968660968661,1,1
"30","nonsyn","common",15,0.05,0.01,0.01,6,6.5,0.5,0.5,0.5,0,1,0.0407836734693878,0.730026493044362,0.117866581864181,49
"31","nonsyn","common",15,0.05,0.01,0.01,6,7,0.5,0.5,0.5,0,1,0.1875,1,1,1
"32","nonsyn","common",15,0.05,1,0.001,6,6,0.5,0.5,0.5,0,1,0.0265881900608286,0.545007857986366,0.01360551257271,8713
"33","nonsyn","common",15,0.05,1,0.001,6,6,0.5,0.5,0.75,0,1,0.0363785227756492,0.568343339485081,0.0606817329921421,9396
"34","nonsyn","common",15,0.05,1,0.001,6,6,0.5,0.5,1,0,1,0.0232275650665124,0.592654457768466,-0.0146919215590225,8645
"35","nonsyn","common",15,0.05,5,0.001,6,6,0.5,0.5,0.5,0,1,0.00664455155071249,0.522292704812289,-0.106821993341285,7158
"36","nonsyn","common",15,0.05,5,0.001,6,6,0.5,0.5,0.75,0,1,0.0151108968177435,0.518276179684421,-0.0546799644678106,4148
"37","nonsyn","common",15,0.05,5,0.001,6,6,0.5,0.5,1,0,1,-0.002220670995671,0.545257564099151,-0.150263839007913,3696
"38","nonsyn","common",15,0.1,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0593314514993665,0.623816073597999,0.198178892503831,7103
"39","nonsyn","common",15,0.2,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.070110651147469,0.668822359661949,0.254181845576141,9107
"40","nonsyn","common",15,0.5,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0835860848512797,0.709401716195242,0.32630633868967,8674
"41","nonsyn","common",50,0,0.01,0.001,6,6,0.5,0.5,0.5,0,1,-0.0258167381974249,0.467762577822627,-0.291056130360764,233
"42","nonsyn","common",50,0.01,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0120669444836841,0.506898798630485,-0.0583983822452018,7079
"43","nonsyn","common",50,0.05,0.01,0,6,5,0.5,0.5,0.5,0,1,0.00294904115099299,0.481876838945254,0.00103752194749881,213798
"44","nonsyn","common",50,0.05,0.01,0,6,6.5,0.5,0.5,0.5,0,1,0.00908277789442741,0.624372869460936,0.00707992384762957,238130
"45","nonsyn","common",50,0.05,0.01,0,6,7,0.5,0.5,0.5,0,1,0.00945809999188377,0.625130065401464,0.0084803490986013,24642
"46","nonsyn","common",50,0.05,0.01,1e-04,6,5,0.5,0.5,0.5,0,1,0.00831679100351319,0.498551687138557,0.00531356121424108,352671
"47","nonsyn","common",50,0.05,0.01,1e-04,6,6,0.5,0.5,0.5,0,1,0.00948407603101073,0.588254843830579,-0.0113288358671155,248688
"48","nonsyn","common",50,0.05,0.01,1e-04,6,6.5,0.5,0.5,0.5,0,1,0.00750004779188571,0.594054305652189,-0.0314279014935887,77419
"49","nonsyn","common",50,0.05,0.01,1e-04,6,7,0.5,0.5,0.5,0,1,0.00527768125626462,0.59673411816446,-0.047514262747106,8979
"50","nonsyn","common",50,0.05,0.01,5e-04,6,5.5,0.5,0.5,0.5,0,1,0.0184463214480312,0.582380830591006,0.0227057349258248,150494
"51","nonsyn","common",50,0.05,0.01,5e-04,6,6,0.5,0.5,0.5,0,1,0.0229830631967016,0.561865026153932,0.014622367037704,45841
"52","nonsyn","common",50,0.05,0.01,5e-04,6,6.5,0.5,0.5,0.5,0,1,0.0435253646677472,0.550627238507872,0.0715066176043334,3702
"53","nonsyn","common",50,0.05,0.01,5e-04,6,7,0.5,0.5,0.5,0,1,0.0700384615384616,0.546140752320807,0.148073203404115,247
"54","nonsyn","common",50,0.05,0.01,0.001,5,6,0.5,0.5,0.5,0,1,0.0101476651406148,0.2209833639356,0.00924714503368319,7645
"55","nonsyn","common",50,0.05,0.01,0.001,6,6,0,0,0.5,0,1,0.00178174117362323,0.327538863992289,-0.130454344201253,297489
