"","snp1","snp2","post_freq_1","post_freq_2","pre_freq_1","pre_freq_2","mean_dist_ben","pre_cor","post_cor","mean_pre_freq","pre_num_common"
"1",203,382,0.34,0.28,0,0,4707.5,-1.5,-0.447589879618273,0,0
"2",203,1549,0.34,0.27,0,0,4124,-1.5,0.609583617337588,0,0
"3",203,2038,0.34,0.21,0,0,3879.5,-1.5,0.0445721755085825,0,0
"4",203,3545,0.34,0.39,0,0,3126,-1.5,0.378270771600342,0,0
"5",203,4252,0.34,0.43,0,0,2772.5,-1.5,0.399962944034549,0,0
"6",203,4707,0.34,0.57,0,0,2545,-1.5,0.367556564773754,0,0
"7",203,4831,0.34,0.79,0,0.43,2483,-1.5,0.214568379773874,0.215,1
"8",203,5018,0.34,0.59,0,0,2407.5,-1.5,0.297872293950092,0,0
"9",203,5125,0.34,0.64,0,0.33,2461,-1.5,0.274430215098487,0.165,1
"10",203,5686,0.34,0.51,0,0,2741.5,-1.5,0.450155592885008,0,0
"11",203,5988,0.34,0.47,0,0,2892.5,-1.5,0.339215804367289,0,0
"12",203,6772,0.34,0.53,0,0,3284.5,-1.5,0.295227720010434,0,0
"13",203,7572,0.34,0.47,0,0,3684.5,-1.5,0.296919569408775,0,0
"14",203,8084,0.34,0.38,0,0,3940.5,-1.5,0.22093506191571,0,0
"15",203,9190,0.34,0.37,0,0.01,4493.5,-1.5,-0.15653103742848,0.005,0
"16",203,9549,0.34,0.36,0,0,4673,-1.5,0.253320198552449,0,0
"17",203,9818,0.34,0.32,0,0.23,4807.5,-1.5,0.231701630078744,0.115,1
"18",382,1549,0.28,0.27,0,0,4034.5,-1.5,-0.228757987213077,0,0
"19",382,2038,0.28,0.21,0,0,3790,-1.5,-0.212159883718755,0,0
"20",382,3545,0.28,0.39,0,0,3036.5,-1.5,-0.0420092900833261,0,0
"21",382,4252,0.28,0.43,0,0,2683,-1.5,-0.0467860542199641,0,0
"22",382,4707,0.28,0.57,0,0,2455.5,-1.5,-0.178146898760633,0,0
"23",382,4831,0.28,0.79,0,0.43,2393.5,-1.5,-0.170602793093432,0.215,1
"24",382,5018,0.28,0.59,0,0,2318,-1.5,-0.0688304152882622,0,0
"25",382,5125,0.28,0.64,0,0.33,2371.5,-1.5,0.00371196169322812,0.165,1
"26",382,5686,0.28,0.51,0,0,2652,-1.5,-0.0570271381763901,0,0
"27",382,5988,0.28,0.47,0,0,2803,-1.5,-0.00713982973190629,0,0
