contig	midpt	gene_id	left_coord	right_coord	pi
GUT_GENOME142330_1	686	GUT_GENOME142330_00002	686	1186	0.0012084178795532207
GUT_GENOME142330_1	765	GUT_GENOME142330_00002	686	1265	0.0010945273631840795
GUT_GENOME142330_1	782	GUT_GENOME142330_00002	686	1282	0.0010633599173312666
GUT_GENOME142330_1	1077	GUT_GENOME142330_00003	686	1577	0.001405005609085516
GUT_GENOME142330_1	1212	GUT_GENOME142330_00003	712	1712	0.0009979828855375928
GUT_GENOME142330_1	1290	GUT_GENOME142330_00003	790	1790	0.0007488124871134635
GUT_GENOME142330_1	1291	GUT_GENOME142330_00003	791	1791	0.0007488124871134635
GUT_GENOME142330_1	1386	GUT_GENOME142330_00003	886	1886	0.0007636125019134783
GUT_GENOME142330_1	1473	GUT_GENOME142330_00003	973	1973	0.0009242037072808032
GUT_GENOME142330_1	1518	GUT_GENOME142330_00003	1018	2018	0.0009242037072808032
GUT_GENOME142330_1	1530	GUT_GENOME142330_00003	1030	2030	0.0009242037072808032
GUT_GENOME142330_1	1554	GUT_GENOME142330_00003	1054	2054	0.0009242037072808032
GUT_GENOME142330_1	1748	GUT_GENOME142330_00004	1248	2248	0.0009385619305942504
GUT_GENOME142330_1	1796	GUT_GENOME142330_00004	1296	2296	0.0008798036628807588
GUT_GENOME142330_1	1901	GUT_GENOME142330_00004	1401	2401	0.000729152765961205
GUT_GENOME142330_1	1934	GUT_GENOME142330_00004	1434	2434	0.000729152765961205
GUT_GENOME142330_1	1937	GUT_GENOME142330_00004	1437	2437	0.000729152765961205
GUT_GENOME142330_1	1958	GUT_GENOME142330_00004	1458	2458	0.000729152765961205
GUT_GENOME142330_1	2133	GUT_GENOME142330_00004	1633	2633	0.0007857261588604873
GUT_GENOME142330_1	2213	GUT_GENOME142330_00004	1713	2713	0.0008732008732008733
GUT_GENOME142330_1	2489	GUT_GENOME142330_00005	1989	2989	0.001116627982299624
GUT_GENOME142330_1	2500	GUT_GENOME142330_00005	2000	3000	0.001116627982299624
GUT_GENOME142330_1	2667	GUT_GENOME142330_00006	2167	3167	0.0011455653246698022
GUT_GENOME142330_1	2679	GUT_GENOME142330_00006	2179	3179	0.0011455653246698022
GUT_GENOME142330_1	2922	GUT_GENOME142330_00006	2422	3422	0.0011018279674996096
GUT_GENOME142330_1	3144	GUT_GENOME142330_00006	2644	3644	0.0006805797850573971
GUT_GENOME142330_1	3162	GUT_GENOME142330_00006	2662	3662	0.0006805797850573971
